movieid,detail,genres,poster_image,release_date,title
59,"내 이름은 사라. 나를 돼지라 부르며 괴롭히던 친구들이 납치당하는 것을 보게 되었다. 작은 마을에서 살인 사건도 벌어졌다.끔찍한 사건의 유일한 목격자가 된 것 같다 그렇다면… 신고한다VS 안 한다""""",Horror|Thriller|Drama,https://image.tmdb.org/t/p/w200/xRdV63kKgWoEwt022e75OBlDeEO.jpg,2022-10-07,피기
60,"단 한번의 실패도 실수도 용납할 수 없는 킬러 ‘알렉스’(리암 니슨). 어느 날, 그에게 새로운 의뢰가 들어온다.  오직 자신의 신념에 따라 움직인 그는 이 사건에 한 소녀가 연관되어 있음을 알게 되고 단칼에 거절한다.  의뢰를 거절했다는 이유로, 모두의 표적이 되어버린 그는 오래된 병으로 인해 희미해져 가는 기억을 붙잡고,  소녀와 자신을 지키기 위해 의뢰에 연관된 모든 것들을 응징하기로 한다.  한편, 멕시코 국경에서 사건을 맹렬히 쫓던 FBI 요원 ‘빈센트’(가이 피어스)는 ‘알렉스’를 만나게 되고, 두 사람은 이 사건의 거대한 비밀과 마주하게 되는데···  사라지는 기억, 더욱 선명해지는 정의! 마지막 응징이 시작된다!",Action|Thriller|Crime,https://image.tmdb.org/t/p/w200/fWkFnlCQLtfIBGnhMKVw2dttEDk.jpg,2022-04-28,메모리
61,,Horror|Thriller,https://image.tmdb.org/t/p/w200/821PHm9tLaoVJFgGfUoIJQTX0nx.jpg,2022-04-07,Surrogate
62,,Mystery|Thriller,https://image.tmdb.org/t/p/w200/8OyzvMrVx2tXjyJiE3GZpvaXE2T.jpg,2023-05-05,살인 초대장
63,"17세 레아는 학교와는 동떨어진 삶을 살고 있다. 매일 친구들과 술이나 마시며 겉도는 자신의 인생에 지루함을 느끼던 어느 날, 친구들의 강요로 본의 아니게 무전취식을 하게 된다. 하지만 식당 주인에게 붙잡혀 곤욕을 치르던 찰나, 어디선가 나타난 의문의 남자 톰의 도움을 받게 된다. 레아는 자신의 나이에 두배 가까운 30대 중반의 톰에게 이제까지 느낄 수 없었던 사랑의 감정을 갖게 되고 이 둘은 급속도로 가까워진다. 하지만 둘의 사이가 진전될수록 레아에게 무언가 숨기는 듯한 톰은 결국 본색을 드러내기 시작하는데…",Drama,https://image.tmdb.org/t/p/w200/jWiSF5VbFeeWZmx7rGgQCsFsLdW.jpg,2023-03-03,야자수와 전선
64,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화",Animation|Comedy|Drama,https://image.tmdb.org/t/p/w200/coiJrdXAXuBkSGDvp9bZ7mkuU6E.jpg,2022-12-03,더 퍼스트 슬램덩크
65,,Thriller,https://image.tmdb.org/t/p/w200/xzmmJAa3OX302flRxg6fEf18FLL.jpg,2023-04-12,파툼
66,,Science Fiction|Thriller|Drama|Mystery,https://image.tmdb.org/t/p/w200/A3qrVjsBd4IZ3QWHMs2x1dwRxuX.jpg,2023-04-27,The Artifice Girl
67,,Science Fiction|Thriller,https://image.tmdb.org/t/p/w200/kmDJhZIq1xnu5ZiMOlb0nHJH1qb.jpg,2023-03-29,시뮬런트
68,"한때 잘 나갔던 전설의 스턴트맨 ‘루오’(성룡). 유일한 파트너마 ‘레드 헤어’가 경매에 부쳐질 위기에 처하자 어쩔 수 없이 소원했던 딸 ‘바오’(류호존)에게 연락해 도움을 청한다. ‘바오’는 자신의 변호사 남자친구 ‘미키’(곽기린)와 이를 해결하고자 하고, 조금씩 ‘루오’에게도 마음을 열어간다. 그러던 어느 날, ‘루오’가 ‘레드 헤어’를 지키기 위해 싸웠던 콤비 액션 영상이 SNS를 통해 화제를 모으게 되고, 유명 영화에 참여할 기회까지 찾아오는데…! 스턴트 생활을 청산하길 바라는 딸 ‘바오’와 인생 역전의 기회에서 고민하는 ‘루오’. 과연, 그는 가족과 커리어를 모두 지킬 수 있을 것인가?!",Comedy|Action|Drama|Adventure,https://image.tmdb.org/t/p/w200/8Rnnx17kOFL4mNchdJNzLSdlBZj.jpg,2023-04-07,라이드 온
